priority_rank,flavor_code,intensity,source_slug,notes
1,piquant,5,internal_rules_v1,phase3_mvp_trait
1,soufre,5,internal_rules_v1,phase3_mvp_trait
2,piquant,4,internal_rules_v1,phase3_mvp_trait
2,soufre,4,internal_rules_v1,phase3_mvp_trait
3,doux,3,internal_rules_v1,phase3_mvp_trait
3,neutre,3,internal_rules_v1,phase3_mvp_trait
4,doux,4,internal_rules_v1,phase3_mvp_trait
4,soufre,4,internal_rules_v1,phase3_mvp_trait
5,doux,4,internal_rules_v1,phase3_mvp_trait
5,caramelise,3,internal_rules_v1,phase3_mvp_trait
6,soufre,4,internal_rules_v1,phase3_mvp_trait
6,umami,3,internal_rules_v1,phase3_mvp_trait
7,doux,3,internal_rules_v1,phase3_mvp_trait
7,soufre,4,internal_rules_v1,phase3_mvp_trait
8,herbace,4,internal_rules_v1,phase3_mvp_trait
8,doux,3,internal_rules_v1,phase3_mvp_trait
9,soufre,4,internal_rules_v1,phase3_mvp_trait
9,doux,3,internal_rules_v1,phase3_mvp_trait
10,soufre,4,internal_rules_v1,phase3_mvp_trait
10,doux,3,internal_rules_v1,phase3_mvp_trait
11,neutre,4,internal_rules_v1,phase3_mvp_trait
11,doux,2,internal_rules_v1,phase3_mvp_trait
12,neutre,4,internal_rules_v1,phase3_mvp_trait
12,doux,2,internal_rules_v1,phase3_mvp_trait
13,neutre,3,internal_rules_v1,phase3_mvp_trait
13,terreux,2,internal_rules_v1,phase3_mvp_trait
14,terreux,4,internal_rules_v1,phase3_mvp_trait
14,neutre,2,internal_rules_v1,phase3_mvp_trait
15,terreux,3,internal_rules_v1,phase3_mvp_trait
15,neutre,2,internal_rules_v1,phase3_mvp_trait
16,amer,3,internal_rules_v1,phase3_mvp_trait
16,terreux,4,internal_rules_v1,phase3_mvp_trait
17,amer,4,internal_rules_v1,phase3_mvp_trait
17,terreux,4,internal_rules_v1,phase3_mvp_trait
18,terreux,3,internal_rules_v1,phase3_mvp_trait
18,neutre,3,internal_rules_v1,phase3_mvp_trait
19,terreux,3,internal_rules_v1,phase3_mvp_trait
19,neutre,3,internal_rules_v1,phase3_mvp_trait
20,terreux,3,internal_rules_v1,phase3_mvp_trait
20,neutre,3,internal_rules_v1,phase3_mvp_trait
21,terreux,3,internal_rules_v1,phase3_mvp_trait
21,neutre,3,internal_rules_v1,phase3_mvp_trait
22,terreux,3,internal_rules_v1,phase3_mvp_trait
22,neutre,3,internal_rules_v1,phase3_mvp_trait
23,terreux,3,internal_rules_v1,phase3_mvp_trait
23,neutre,3,internal_rules_v1,phase3_mvp_trait
24,terreux,4,internal_rules_v1,phase3_mvp_trait
24,umami,3,internal_rules_v1,phase3_mvp_trait
25,terreux,3,internal_rules_v1,phase3_mvp_trait
25,doux,2,internal_rules_v1,phase3_mvp_trait
26,herbace,3,internal_rules_v1,phase3_mvp_trait
26,doux,2,internal_rules_v1,phase3_mvp_trait
27,herbace,3,internal_rules_v1,phase3_mvp_trait
27,umami,3,internal_rules_v1,phase3_mvp_trait
28,doux,3,internal_rules_v1,phase3_mvp_trait
28,neutre,2,internal_rules_v1,phase3_mvp_trait
29,doux,3,internal_rules_v1,phase3_mvp_trait
29,terreux,2,internal_rules_v1,phase3_mvp_trait
30,sucre,4,internal_rules_v1,phase3_mvp_trait
30,acide,3,internal_rules_v1,phase3_mvp_trait
31,sucre,4,internal_rules_v1,phase3_mvp_trait
31,floral,3,internal_rules_v1,phase3_mvp_trait
32,sucre,4,internal_rules_v1,phase3_mvp_trait
32,acide,3,internal_rules_v1,phase3_mvp_trait
33,sucre,4,internal_rules_v1,phase3_mvp_trait
33,floral,3,internal_rules_v1,phase3_mvp_trait
34,sucre,4,internal_rules_v1,phase3_mvp_trait
34,acide,3,internal_rules_v1,phase3_mvp_trait
35,sucre,3,internal_rules_v1,phase3_mvp_trait
35,acide,3,internal_rules_v1,phase3_mvp_trait
36,sucre,5,internal_rules_v1,phase3_mvp_trait
36,caramelise,3,internal_rules_v1,phase3_mvp_trait
37,umami,4,internal_rules_v1,phase3_mvp_trait
37,terreux,4,internal_rules_v1,phase3_mvp_trait
38,umami,5,internal_rules_v1,phase3_mvp_trait
38,terreux,4,internal_rules_v1,phase3_mvp_trait
39,umami,4,internal_rules_v1,phase3_mvp_trait
39,terreux,4,internal_rules_v1,phase3_mvp_trait
40,soufre,3,internal_rules_v1,phase3_mvp_trait
40,neutre,3,internal_rules_v1,phase3_mvp_trait
41,sucre,3,internal_rules_v1,phase3_mvp_trait
41,terreux,3,internal_rules_v1,phase3_mvp_trait
42,herbace,4,internal_rules_v1,phase3_mvp_trait
42,acide,2,internal_rules_v1,phase3_mvp_trait
